A_k,Distance,H_absolute,J_absolute,K_absolute,K_apparent,Teff,[Fe/H],logg
1.38251,nan,nan,nan,nan,8.985,3395.4150464,-0.732447861265,-0.0943564789323
1.31825,0.7557026525968517,-2.981933656859032,-2.4206626931783584,-3.0780047332018423,7.632,3407.21806812,-0.371173186376,0.334152470281
1.14934,4.797858084981644,-5.177783544788329,-4.347205389794516,-5.4515769895003725,9.103,3542.17507037,0.0519804820616,0.581108823237
0.998784,4.934915247437489,-4.126745063201164,-3.3613032985404177,-4.255182492336999,10.21,4108.84270923,-0.569588213441,1.18330104884
1.39628,6.141012448439063,-5.468751107344219,-4.619083147144366,-5.737479888704451,9.6,3547.46491236,-0.157011241797,0.443641390845
0.127602,1.7201892292934773,-1.1751046406195753,-0.7628041736124923,-1.2424831203448226,10.063,5317.28031228,-1.30275637058,2.46786406245
0.442475,2.7787047813508456,-2.5064909756345024,-1.839239984850928,-2.645687041837809,10.016,4232.55230978,0.296824797142,1.88869138485
1.30815,6.893532290123024,-6.033143817957937,-5.152163206125145,-6.336359071085432,9.164,3455.91166505,-0.281577463537,0.180196827971
1.37975,7.945318680551829,-5.794918604545293,-4.924848224642467,-6.08030660553293,9.8,3482.09102333,-0.235927961585,0.295391131847
0.277236,nan,nan,nan,nan,9.231,4372.02459551,0.340334011219,2.17749628537
0.0771125,4.12457435993538,-2.78684861084991,-2.2710020829404596,-2.867008188467203,10.287,4757.03385404,-1.76622666271,1.54340684784
0.732564,2.4182935460813657,-3.055602983130664,-2.35242598001471,-3.2051090841654486,9.445,4135.17859773,0.157611490673,1.64567037174
0.659124,2.781222561155345,-5.322032247116371,-4.4933668405647635,-5.609302718528215,7.271,3608.79921465,0.0206591049373,0.504905603175
1.43024,5.731661382628067,-5.419609377115936,-4.575453507275403,-5.70364262530479,9.518,3506.75384145,-0.0370699357831,0.468724199613
0.065178,2.6335707753009605,-1.242188409963298,-0.7929501259112596,-1.3159029709948131,10.852,5112.78228031,-1.4882103341,2.42956734955
0.993277,2.746664928004682,-4.01190902200097,-3.2200269322609074,-4.209305410327417,8.978,3829.16197747,0.163499495583,1.21778325419
1.77633,7.171947180878337,-6.123632976898912,-5.207984830285146,-6.41051541230241,9.644,3431.71221704,-0.318024764717,0.195540262531
1.07406,nan,nan,nan,nan,8.015,3403.76287068,-0.540192299036,0.0743977290951
1.03,6.463004878504139,-6.166461731247327,-5.25842198466179,-6.45017241871798,8.632,3487.4348513,-0.197216404103,0.174082364134
1.15117,nan,nan,nan,nan,9.768,3757.68623861,-0.91768648732,0.130741266275
1.06304,1.2084500296771448,-3.3159326424705466,-2.7490684208070326,-3.413183483548041,8.061,3422.43223246,-0.284858622567,0.319555542673
1.88557,nan,nan,nan,nan,9.062,3354.22088947,-0.453664016224,0.168162611194
0.52785,2.206572487004425,-2.811606270385046,-2.1315004267815874,-2.9554409940371698,9.291,4199.09237037,0.162129335022,1.71416285679
1.28612,7.092763623312315,-5.205567365946106,-4.388743859840792,-5.440197432964851,10.1,3698.37972421,-0.314335034507,0.476915271582
1.93698,1.1287235948790215,-3.3906308690822105,-2.8236505528347724,-3.4879180182358533,8.712,3416.82750052,-0.288017923116,0.294454565467
1.07498,3.873918639200411,-4.939102249601348,-4.124843705557535,-5.203732476704628,8.812,3706.88206966,0.1571566312,0.711607193769
0.87669,3.4254506092841637,-4.597841586245314,-3.7652109262036877,-4.821278549585017,8.729,3696.44670683,0.0906152524724,0.941613574387
0.44523,nan,nan,nan,nan,10.316,4949.17801532,0.406868478114,2.79788029959
0.282744,2.048884091493595,-1.7611551280862163,-1.1413896508730141,-1.872330951965537,9.968,4441.4068324,0.200011180625,2.23358006964
1.22002,7.031763939207618,-5.838962116457611,-4.959533802265515,-6.109341413840854,9.346,3526.80655503,-0.343916306685,0.287497291953
1.67168,1.4141523975188959,-2.56602315024352,-1.9803928794384358,-2.6681610707666255,9.756,3736.83318526,-0.445317682455,0.919540298788
-0.0605876,0.23003462628371832,0.7949325714898887,1.2397964085141986,0.7280339313884999,7.537,5021.38030813,-0.651384243227,3.26907913156
0.89505,6.786278901240094,-5.070129084461109,-4.221923223909144,-5.334208521152437,9.719,3569.33464746,0.049845544493,0.709087234844
0.857412,2.153873758557536,-2.4311066940631543,-1.7654039551178897,-2.570513225616384,9.953,4234.09782144,0.329290256404,1.92786727109
0.89964,nan,nan,nan,nan,10.142,4394.07790618,0.473596130119,2.12778051405
1.44401,nan,nan,nan,nan,8.26,3382.67080571,-0.427733153978,0.158738431418
1.17596,7.125258718602695,-5.204100899452601,-4.345954859848477,-5.448963191137188,9.991,3631.32601917,-0.148261709044,0.648233352342
1.24022,2.477234454958859,-3.4190309581696368,-2.8500244347033097,-3.5170555591227664,9.693,3492.31210345,-0.126175850568,0.508265697277
1.14842,1.78071929814614,-3.6121572312305616,-3.042308804639567,-3.710397326473853,8.691,3491.9944911,-0.183983176159,0.44668652508
0.456246,2.028765283489006,-3.890041233604341,-3.120245164685393,-4.0714050227911285,7.921,3921.53618724,0.0993998609415,1.25960383146
0.132192,2.411263346687323,-1.2644565633207743,-0.8377481712496512,-1.3374152227031744,10.706,5218.95511853,-1.43159121312,2.42746042304
0.405755,2.0657438593767408,-3.062275826060365,-2.361765272012428,-3.208137352240409,8.773,4154.46678587,0.11223013196,1.64109177099
1.62945,nan,nan,nan,nan,8.174,3344.99162285,-0.506515734656,-0.160716860219
1.71574,4.776220750562821,-5.555235325300172,-4.715336768599769,-5.844161955489066,9.267,3507.80074965,-0.134875412983,0.355519180229
